Member_number,Date,itemDescription,year,month,day,day_of_week
3779,15/09/2015,berries,2015,9,15,1
3617,10/01/2014,liquor (appetizer),2014,1,10,4
2609,6/04/2014,semi-finished bread,2014,4,6,6
1685,18/08/2015,whole milk,2015,8,18,1
2543,27/05/2014,whipped/sour cream,2014,5,27,1
4173,14/02/2014,whipped/sour cream,2014,2,14,4
4633,14/04/2015,yogurt,2015,4,14,1
2004,21/08/2015,other vegetables,2015,8,21,4
3800,2/08/2015,newspapers,2015,8,2,6
1199,11/09/2015,beverages,2015,9,11,4
4742,15/11/2015,tropical fruit,2015,11,15,6
3437,11/07/2014,beef,2014,7,11,4
2760,19/04/2014,long life bakery product,2014,4,19,5
2349,10/12/2014,female sanitary products,2014,12,10,2
2768,1/01/2015,salt,2015,1,1,3
3280,14/04/2015,beef,2015,4,14,1
2549,24/08/2015,soda,2015,8,24,0
1237,3/12/2014,other vegetables,2014,12,3,2
1479,14/05/2015,sauces,2015,5,14,3
1181,13/07/2014,oil,2014,7,13,6
2926,29/10/2015,oil,2015,10,29,3
1358,9/11/2015,whipped/sour cream,2015,11,9,0
4984,14/06/2014,snack products,2014,6,14,5
1624,22/12/2015,berries,2015,12,22,1
4418,20/02/2014,long life bakery product,2014,2,20,3
4845,28/08/2015,brown bread,2015,8,28,4
1793,27/10/2014,brown bread,2014,10,27,0
3571,17/06/2015,hygiene articles,2015,6,17,2
2032,28/07/2015,pork,2015,7,28,1
3608,10/12/2015,artif. sweetener,2015,12,10,3
1319,1/10/2015,misc. beverages,2015,10,1,3
1791,2/02/2014,bottled beer,2014,2,2,6
3672,28/05/2015,sausage,2015,5,28,3
2041,17/07/2015,liquor (appetizer),2015,7,17,4
3518,18/05/2015,dessert,2015,5,18,0
3628,8/01/2014,cream cheese ,2014,1,8,2
4117,1/06/2015,brown bread,2015,6,1,0
2025,13/11/2014,bottled beer,2014,11,13,3
2116,29/08/2015,canned beer,2015,8,29,5
4881,26/03/2015,rolls/buns,2015,3,26,3
4391,26/03/2015,hamburger meat,2015,3,26,3
2148,25/01/2014,cream cheese ,2014,1,25,5
1104,27/10/2015,whole milk,2015,10,27,1
3966,1/11/2015,whole milk,2015,11,1,6
4226,12/06/2015,domestic eggs,2015,6,12,4
2485,17/02/2015,onions,2015,2,17,1
4312,22/04/2015,tropical fruit,2015,4,22,2
4593,8/04/2015,rolls/buns,2015,4,8,2
2142,25/06/2015,liver loaf,2015,6,25,3
2888,20/12/2015,other vegetables,2015,12,20,6
2602,12/11/2015,soups,2015,11,12,3
4238,12/03/2015,onions,2015,3,12,3
1955,22/06/2014,soda,2014,6,22,6
1111,24/10/2014,sugar,2014,10,24,4
2309,17/04/2014,whole milk,2014,4,17,3
3322,10/11/2015,whole milk,2015,11,10,1
2337,5/10/2015,waffles,2015,10,5,0
4303,25/09/2015,soda,2015,9,25,4
4088,23/09/2015,whole milk,2015,9,23,2
3972,14/08/2014,pip fruit,2014,8,14,3
2215,22/07/2015,frozen vegetables,2015,7,22,2
2202,8/07/2015,newspapers,2015,7,8,2
1132,19/02/2015,other vegetables,2015,2,19,3
4013,21/07/2014,tropical fruit,2014,7,21,0
4985,26/12/2015,hard cheese,2015,12,26,5
1465,12/08/2014,shopping bags,2014,8,12,1
2053,17/09/2015,cream cheese ,2015,9,17,3
2597,15/08/2015,soda,2015,8,15,5
1185,27/09/2014,frankfurter,2014,9,27,5
2226,3/09/2015,berries,2015,9,3,3
2059,9/07/2014,whole milk,2014,7,9,2
4819,20/08/2014,whole milk,2014,8,20,2
3050,5/03/2014,root vegetables,2014,3,5,2
2890,26/04/2015,newspapers,2015,4,26,6
1022,6/07/2014,fruit/vegetable juice,2014,7,6,6
1513,8/03/2015,yogurt,2015,3,8,6
4088,23/09/2015,canned vegetables,2015,9,23,2
2341,22/12/2014,rolls/buns,2014,12,22,0
2447,21/01/2015,napkins,2015,1,21,2
3474,25/02/2015,berries,2015,2,25,2
4657,15/08/2015,bottled beer,2015,8,15,5
4634,5/10/2014,citrus fruit,2014,10,5,6
3911,3/05/2015,margarine,2015,5,3,6
4166,12/07/2014,pasta,2014,7,12,5
1904,18/04/2015,yogurt,2015,4,18,5
2076,14/01/2014,salty snack,2014,1,14,1
3803,27/01/2015,tropical fruit,2015,1,27,1
3737,12/12/2015,sausage,2015,12,12,5
1103,25/05/2014,candles,2014,5,25,6
1638,3/12/2015,bottled beer,2015,12,3,3
3763,27/06/2015,frozen vegetables,2015,6,27,5
1887,7/08/2014,yogurt,2014,8,7,3
1712,4/12/2014,cream cheese ,2014,12,4,3
1325,29/03/2014,chocolate,2014,3,29,5
1566,6/03/2014,citrus fruit,2014,3,6,3
4800,27/10/2014,cat food,2014,10,27,0
1269,24/04/2014,tropical fruit,2014,4,24,3
1504,29/12/2014,curd,2014,12,29,0
2960,3/11/2014,shopping bags,2014,11,3,0
2101,4/10/2015,onions,2015,10,4,6
1176,8/04/2014,hard cheese,2014,4,8,1
4012,16/05/2015,meat,2015,5,16,5
4628,29/11/2015,citrus fruit,2015,11,29,6
1239,7/02/2015,whipped/sour cream,2015,2,7,5
4273,21/03/2015,whole milk,2015,3,21,5
3462,21/09/2014,fruit/vegetable juice,2014,9,21,6
1856,26/10/2015,root vegetables,2015,10,26,0
3343,2/11/2014,hygiene articles,2014,11,2,6
1866,11/08/2015,candy,2015,8,11,1
3872,4/04/2014,condensed milk,2014,4,4,4
1653,18/07/2014,frozen meals,2014,7,18,4
3934,5/01/2015,shopping bags,2015,1,5,0
2672,7/12/2015,waffles,2015,12,7,0
2381,13/01/2015,UHT-milk,2015,1,13,1
1804,26/01/2015,cream cheese ,2015,1,26,0
4893,3/01/2015,berries,2015,1,3,5
4462,4/02/2015,rolls/buns,2015,2,4,2
1565,12/12/2015,meat,2015,12,12,5
4613,17/05/2015,fruit/vegetable juice,2015,5,17,6
3380,16/08/2014,other vegetables,2014,8,16,5
1339,28/11/2015,whole milk,2015,11,28,5
1160,9/04/2015,chewing gum,2015,4,9,3
2560,17/05/2015,other vegetables,2015,5,17,6
1819,11/11/2015,chicken,2015,11,11,2
4340,27/10/2014,soft cheese,2014,10,27,0
2883,5/09/2014,hamburger meat,2014,9,5,4
2585,17/05/2014,whole milk,2014,5,17,5
4468,15/06/2015,brown bread,2015,6,15,0
3663,11/07/2015,tropical fruit,2015,7,11,5
4852,17/06/2015,pastry,2015,6,17,2
3948,4/10/2014,soda,2014,10,4,5
2368,11/11/2015,other vegetables,2015,11,11,2
1697,17/11/2015,soda,2015,11,17,1
4223,10/07/2015,pastry,2015,7,10,4
4535,31/08/2014,whole milk,2014,8,31,6
3146,27/06/2014,rolls/buns,2014,6,27,4
1191,8/08/2015,specialty chocolate,2015,8,8,5
3308,19/08/2015,yogurt,2015,8,19,2
3955,28/08/2015,whole milk,2015,8,28,4
1024,8/10/2015,root vegetables,2015,10,8,3
1747,1/07/2014,margarine,2014,7,1,1
3317,8/10/2014,soda,2014,10,8,2
1310,22/11/2014,newspapers,2014,11,22,5
1486,14/12/2015,spices,2015,12,14,0
1144,15/10/2015,root vegetables,2015,10,15,3
4947,14/09/2015,soda,2015,9,14,0
1591,29/12/2014,packaged fruit/vegetables,2014,12,29,0
4198,11/10/2014,whole milk,2014,10,11,5
3103,12/10/2014,whole milk,2014,10,12,6
4641,16/03/2014,root vegetables,2014,3,16,6
1494,16/05/2014,yogurt,2014,5,16,4
2184,30/06/2015,margarine,2015,6,30,1
2365,21/06/2015,pip fruit,2015,6,21,6
1831,1/09/2015,pork,2015,9,1,1
1623,18/01/2015,specialty chocolate,2015,1,18,6
4172,10/08/2015,soda,2015,8,10,0
3674,22/03/2015,other vegetables,2015,3,22,6
4397,27/12/2014,rolls/buns,2014,12,27,5
2502,2/07/2015,citrus fruit,2015,7,2,3
2524,9/10/2015,whole milk,2015,10,9,4
2961,21/07/2015,berries,2015,7,21,1
3764,10/05/2015,pork,2015,5,10,6
2364,23/07/2014,bottled water,2014,7,23,2
3522,23/09/2015,whole milk,2015,9,23,2
2690,3/06/2015,chicken,2015,6,3,2
4456,21/03/2015,cling film/bags,2015,3,21,5
2721,8/10/2015,root vegetables,2015,10,8,3
2978,25/11/2015,other vegetables,2015,11,25,2
4390,20/01/2015,whole milk,2015,1,20,1
2105,21/01/2015,tropical fruit,2015,1,21,2
2718,6/08/2015,chicken,2015,8,6,3
4217,12/01/2015,whole milk,2015,1,12,0
4812,22/01/2014,rolls/buns,2014,1,22,2
4050,3/09/2014,beef,2014,9,3,2
2505,2/02/2014,frozen vegetables,2014,2,2,6
1450,2/04/2014,cling film/bags,2014,4,2,2
2816,19/06/2015,pastry,2015,6,19,4
3528,19/05/2015,sausage,2015,5,19,1
2910,3/01/2014,processed cheese,2014,1,3,4
3189,2/03/2015,root vegetables,2015,3,2,0
4482,8/07/2015,shopping bags,2015,7,8,2
3852,31/08/2014,other vegetables,2014,8,31,6
1254,3/03/2014,napkins,2014,3,3,0
2305,28/09/2015,mustard,2015,9,28,0
3361,24/12/2014,berries,2014,12,24,2
1894,19/08/2014,root vegetables,2014,8,19,1
3782,15/01/2014,curd,2014,1,15,2
4202,28/02/2014,long life bakery product,2014,2,28,4
2652,9/04/2014,seasonal products,2014,4,9,2
3298,28/04/2015,sausage,2015,4,28,1
1549,3/02/2014,coffee,2014,2,3,0
3462,15/11/2015,ham,2015,11,15,6
1654,9/08/2014,butter,2014,8,9,5
3427,28/04/2015,other vegetables,2015,4,28,1
1647,20/12/2015,specialty cheese,2015,12,20,6
3685,26/08/2015,female sanitary products,2015,8,26,2
2346,8/05/2015,cat food,2015,5,8,4
3046,18/11/2015,hamburger meat,2015,11,18,2
1175,6/10/2015,shopping bags,2015,10,6,1
1296,20/08/2015,meat,2015,8,20,3
3132,30/07/2015,chicken,2015,7,30,3
2645,16/06/2014,red/blush wine,2014,6,16,0
2830,22/06/2015,sausage,2015,6,22,0
2704,8/02/2014,whole milk,2014,2,8,5
3409,20/05/2015,sausage,2015,5,20,2
3084,22/01/2014,other vegetables,2014,1,22,2
4015,20/02/2015,soft cheese,2015,2,20,4
1531,19/01/2015,sausage,2015,1,19,0
2857,18/02/2015,tropical fruit,2015,2,18,2
1005,23/01/2014,whipped/sour cream,2014,1,23,3
3821,1/03/2015,herbs,2015,3,1,6
1466,2/03/2014,brown bread,2014,3,2,6
2427,1/08/2015,whipped/sour cream,2015,8,1,5
1079,10/07/2014,bottled water,2014,7,10,3
4274,8/01/2015,whole milk,2015,1,8,3
4030,15/08/2015,pastry,2015,8,15,5
3927,26/09/2014,whipped/sour cream,2014,9,26,4
4417,18/05/2015,tropical fruit,2015,5,18,0
3960,21/10/2015,canned beer,2015,10,21,2
1574,3/04/2014,white bread,2014,4,3,3
3139,23/01/2014,citrus fruit,2014,1,23,3
1754,6/07/2014,pastry,2014,7,6,6
2008,30/08/2015,mayonnaise,2015,8,30,6
3561,27/12/2014,citrus fruit,2014,12,27,5
4541,7/06/2014,cream cheese ,2014,6,7,5
4613,17/07/2014,fruit/vegetable juice,2014,7,17,3
2083,11/07/2015,tropical fruit,2015,7,11,5
2669,29/03/2015,bottled beer,2015,3,29,6
2022,3/04/2015,herbs,2015,4,3,4
1275,11/06/2014,dental care,2014,6,11,2
2303,31/01/2014,grapes,2014,1,31,4
4745,20/08/2014,long life bakery product,2014,8,20,2
1659,1/01/2014,frozen vegetables,2014,1,1,2
2074,20/12/2015,bottled water,2015,12,20,6
4197,13/05/2015,butter,2015,5,13,2
4661,15/02/2014,cream cheese ,2014,2,15,5
3002,13/08/2015,coffee,2015,8,13,3
4326,4/11/2015,soda,2015,11,4,2
1922,1/07/2014,yogurt,2014,7,1,1
1230,19/11/2015,frankfurter,2015,11,19,3
2289,11/04/2015,bottled water,2015,4,11,5
2369,17/10/2015,hamburger meat,2015,10,17,5
3501,13/06/2014,bottled beer,2014,6,13,4
4533,13/04/2014,curd,2014,4,13,6
1961,4/06/2014,other vegetables,2014,6,4,2
3600,6/03/2014,other vegetables,2014,3,6,3
3663,28/08/2014,margarine,2014,8,28,3
4224,29/01/2015,chicken,2015,1,29,3
2800,2/02/2015,other vegetables,2015,2,2,0
4745,24/12/2015,shopping bags,2015,12,24,3
2107,1/08/2014,coffee,2014,8,1,4
2846,23/09/2015,other vegetables,2015,9,23,2
2494,5/05/2015,pip fruit,2015,5,5,1
4441,12/12/2014,newspapers,2014,12,12,4
4747,6/08/2015,root vegetables,2015,8,6,3
1191,3/10/2014,berries,2014,10,3,4
1061,9/05/2015,margarine,2015,5,9,5
2499,22/11/2015,frozen meals,2015,11,22,6
1213,3/03/2015,margarine,2015,3,3,1
4019,28/08/2015,sauces,2015,8,28,4
2245,19/02/2014,fish,2014,2,19,2
3033,28/02/2014,nut snack,2014,2,28,4
1997,6/06/2015,pickled vegetables,2015,6,6,5
3540,3/05/2015,whole milk,2015,5,3,6
3867,24/07/2014,domestic eggs,2014,7,24,3
3360,30/08/2014,butter milk,2014,8,30,5
1787,31/10/2015,finished products,2015,10,31,5
2610,21/10/2015,meat,2015,10,21,2
3620,18/06/2015,soda,2015,6,18,3
2974,1/01/2014,whipped/sour cream,2014,1,1,2
1110,15/11/2015,dishes,2015,11,15,6
4013,18/03/2015,root vegetables,2015,3,18,2
3010,5/11/2014,root vegetables,2014,11,5,2
4552,17/10/2015,whole milk,2015,10,17,5
1839,9/03/2015,meat,2015,3,9,0
1381,3/06/2015,salty snack,2015,6,3,2
3379,21/01/2015,oil,2015,1,21,2
3252,22/08/2015,citrus fruit,2015,8,22,5
1519,28/10/2014,butter,2014,10,28,1
4494,8/06/2015,frozen meals,2015,6,8,0
2595,23/01/2015,dessert,2015,1,23,4
3259,9/02/2015,cream cheese ,2015,2,9,0
3686,3/03/2014,whole milk,2014,3,3,0
4178,10/05/2014,domestic eggs,2014,5,10,5
4967,22/04/2014,coffee,2014,4,22,1
2578,30/01/2014,frozen fish,2014,1,30,3
4344,3/01/2015,frozen meals,2015,1,3,5
4382,13/11/2015,beef,2015,11,13,4
2921,18/11/2014,cream cheese ,2014,11,18,1
2468,13/03/2015,domestic eggs,2015,3,13,4
2419,26/07/2014,liver loaf,2014,7,26,5
2494,6/10/2015,chicken,2015,10,6,1
2897,26/04/2014,whole milk,2014,4,26,5
3344,21/01/2014,canned beer,2014,1,21,1
4227,20/08/2015,hamburger meat,2015,8,20,3
3090,10/03/2014,yogurt,2014,3,10,0
1153,28/03/2014,dish cleaner,2014,3,28,4
1204,23/06/2014,rolls/buns,2014,6,23,0
3850,27/03/2014,cling film/bags,2014,3,27,3
2950,2/03/2014,soda,2014,3,2,6
2612,6/11/2014,pastry,2014,11,6,3
2855,8/05/2015,frozen dessert,2015,5,8,4
4189,4/07/2015,soda,2015,7,4,5
2261,18/06/2015,sausage,2015,6,18,3
1418,30/06/2014,bottled water,2014,6,30,0
2245,19/02/2014,canned beer,2014,2,19,2
4371,24/05/2014,butter,2014,5,24,5
4750,4/11/2014,pork,2014,11,4,1
3846,8/04/2014,flower (seeds),2014,4,8,1
1527,15/04/2014,spices,2014,4,15,1
4441,5/05/2015,grapes,2015,5,5,1
2964,10/03/2014,male cosmetics,2014,3,10,0
4030,22/12/2015,other vegetables,2015,12,22,1
3801,25/08/2014,frozen vegetables,2014,8,25,0
4988,19/04/2014,butter,2014,4,19,5
1621,28/08/2014,sugar,2014,8,28,3
3042,10/02/2015,bottled water,2015,2,10,1
1120,6/08/2015,other vegetables,2015,8,6,3
2247,8/11/2014,chocolate,2014,11,8,5
2166,12/10/2015,other vegetables,2015,10,12,0
3666,4/12/2014,canned beer,2014,12,4,3
2363,22/05/2015,white wine,2015,5,22,4
4578,9/08/2014,yogurt,2014,8,9,5
2092,9/04/2015,brown bread,2015,4,9,3
3010,13/06/2014,hygiene articles,2014,6,13,4
4647,30/01/2015,meat,2015,1,30,4
2745,4/08/2015,rolls/buns,2015,8,4,1
4218,15/09/2014,hamburger meat,2014,9,15,0
3176,2/05/2015,red/blush wine,2015,5,2,5
1184,16/06/2015,root vegetables,2015,6,16,1
1349,13/12/2015,frankfurter,2015,12,13,6
4859,7/07/2015,pork,2015,7,7,1
3099,20/09/2014,pork,2014,9,20,5
3905,5/11/2014,other vegetables,2014,11,5,2
4819,10/01/2015,rolls/buns,2015,1,10,5
3585,3/06/2015,frozen meals,2015,6,3,2
4068,19/11/2015,tropical fruit,2015,11,19,3
1656,13/08/2015,bottled beer,2015,8,13,3
2613,24/05/2015,misc. beverages,2015,5,24,6
4691,10/12/2015,frozen chicken,2015,12,10,3
4695,1/05/2015,shopping bags,2015,5,1,4
1218,29/12/2015,whole milk,2015,12,29,1
4838,9/07/2014,yogurt,2014,7,9,2
2196,2/12/2014,yogurt,2014,12,2,1
3428,3/05/2014,other vegetables,2014,5,3,5
3928,18/07/2015,ham,2015,7,18,5
3463,5/09/2015,shopping bags,2015,9,5,5
2454,4/06/2015,rolls/buns,2015,6,4,3
1194,27/02/2014,pip fruit,2014,2,27,3
2271,16/06/2015,instant coffee,2015,6,16,1
3935,4/12/2014,yogurt,2014,12,4,3
4165,1/12/2014,condensed milk,2014,12,1,0
1144,11/07/2014,pork,2014,7,11,4
1997,6/06/2015,frankfurter,2015,6,6,5
1130,18/09/2015,bottled water,2015,9,18,4
2590,16/12/2015,pot plants,2015,12,16,2
2467,7/05/2015,nuts/prunes,2015,5,7,3
2943,30/06/2014,pastry,2014,6,30,0
3322,2/11/2015,bottled beer,2015,11,2,0
1132,19/02/2015,other vegetables,2015,2,19,3
3613,6/05/2015,brown bread,2015,5,6,2
4143,14/01/2014,pastry,2014,1,14,1
2744,5/06/2014,rolls/buns,2014,6,5,3
1041,4/02/2015,hamburger meat,2015,2,4,2
3909,13/08/2014,root vegetables,2014,8,13,2
1154,4/06/2015,root vegetables,2015,6,4,3
1237,16/10/2014,beverages,2014,10,16,3
3562,13/08/2015,canned beer,2015,8,13,3
3704,12/03/2014,whole milk,2014,3,12,2
4682,17/05/2015,other vegetables,2015,5,17,6
2210,13/01/2015,rice,2015,1,13,1
1819,11/11/2015,tropical fruit,2015,11,11,2
2060,26/07/2015,pip fruit,2015,7,26,6
1485,7/12/2015,soda,2015,12,7,0
1754,20/04/2014,cream cheese ,2014,4,20,6
2065,22/01/2015,coffee,2015,1,22,3
4726,2/06/2015,liquor (appetizer),2015,6,2,1
2990,31/05/2014,UHT-milk,2014,5,31,5
3107,12/12/2014,waffles,2014,12,12,4
1884,12/11/2015,long life bakery product,2015,11,12,3
4038,7/08/2015,citrus fruit,2015,8,7,4
4975,5/08/2015,tropical fruit,2015,8,5,2
4946,11/04/2015,hard cheese,2015,4,11,5
2386,30/01/2015,frozen dessert,2015,1,30,4
4756,18/09/2015,tropical fruit,2015,9,18,4
4049,8/01/2015,curd,2015,1,8,3
1686,4/12/2014,candles,2014,12,4,3
1510,21/08/2015,other vegetables,2015,8,21,4
4318,27/03/2014,whole milk,2014,3,27,3
2142,25/06/2015,chocolate,2015,6,25,3
1639,10/10/2015,tropical fruit,2015,10,10,5
1265,13/04/2015,yogurt,2015,4,13,0
3441,4/12/2015,root vegetables,2015,12,4,4
2101,20/12/2015,canned beer,2015,12,20,6
3484,7/04/2014,newspapers,2014,4,7,0
1894,8/04/2015,citrus fruit,2015,4,8,2
4039,19/01/2015,pip fruit,2015,1,19,0
1194,16/01/2014,whole milk,2014,1,16,3
2201,5/03/2015,specialty chocolate,2015,3,5,3
3511,26/08/2015,frankfurter,2015,8,26,2
1502,16/04/2015,UHT-milk,2015,4,16,3
2123,6/06/2014,long life bakery product,2014,6,6,4
3424,16/08/2015,shopping bags,2015,8,16,6
2340,10/07/2015,frozen fish,2015,7,10,4
2847,1/05/2014,rolls/buns,2014,5,1,3
1832,9/01/2014,specialty chocolate,2014,1,9,3
2885,15/05/2015,hamburger meat,2015,5,15,4
4338,10/09/2014,pip fruit,2014,9,10,2
2345,11/11/2014,frozen vegetables,2014,11,11,1
1399,23/09/2014,rice,2014,9,23,1
3139,11/06/2014,white bread,2014,6,11,2
3808,19/02/2014,curd,2014,2,19,2
2043,2/03/2014,curd,2014,3,2,6
4295,24/03/2015,tropical fruit,2015,3,24,1
1751,15/02/2014,whole milk,2014,2,15,5
4915,20/02/2014,sausage,2014,2,20,3
2251,23/06/2015,napkins,2015,6,23,1
1471,21/08/2014,tropical fruit,2014,8,21,3
3220,11/07/2015,rolls/buns,2015,7,11,5
4680,22/08/2015,root vegetables,2015,8,22,5
3825,27/01/2014,shopping bags,2014,1,27,0
3122,31/10/2015,bottled beer,2015,10,31,5
1665,29/11/2015,other vegetables,2015,11,29,6
4773,15/10/2014,turkey,2014,10,15,2
1756,23/09/2015,ice cream,2015,9,23,2
4073,13/02/2015,whipped/sour cream,2015,2,13,4
2850,1/10/2014,root vegetables,2014,10,1,2
4156,8/03/2015,bottled beer,2015,3,8,6
1647,22/02/2014,whipped/sour cream,2014,2,22,5
2129,18/03/2015,pip fruit,2015,3,18,2
2838,28/04/2014,liver loaf,2014,4,28,0
2612,31/05/2015,dessert,2015,5,31,6
3433,10/01/2015,salty snack,2015,1,10,5
4327,26/04/2015,citrus fruit,2015,4,26,6
2524,9/10/2015,beef,2015,10,9,4
2009,10/11/2015,soda,2015,11,10,1
4651,21/06/2015,citrus fruit,2015,6,21,6
3930,31/05/2014,brown bread,2014,5,31,5
4354,30/07/2014,soda,2014,7,30,2
3894,13/12/2015,UHT-milk,2015,12,13,6
3635,13/12/2015,sliced cheese,2015,12,13,6
1171,3/01/2014,whipped/sour cream,2014,1,3,4
2325,5/06/2014,canned fruit,2014,6,5,3
4608,20/07/2014,candy,2014,7,20,6
2922,26/12/2015,pip fruit,2015,12,26,5
3679,23/12/2015,pork,2015,12,23,2
4482,30/11/2015,rolls/buns,2015,11,30,0
2208,30/07/2015,hamburger meat,2015,7,30,3
1132,22/11/2014,bottled beer,2014,11,22,5
2419,4/07/2015,pip fruit,2015,7,4,5
2236,2/03/2015,frozen meals,2015,3,2,0
3079,3/10/2015,soda,2015,10,3,5
3139,21/04/2015,whipped/sour cream,2015,4,21,1
2960,27/10/2014,fruit/vegetable juice,2014,10,27,0
4701,30/04/2015,popcorn,2015,4,30,3
1110,30/05/2014,margarine,2014,5,30,4
4563,28/01/2014,baking powder,2014,1,28,1
3094,18/11/2014,white bread,2014,11,18,1
3189,28/10/2014,kitchen towels,2014,10,28,1
3406,17/05/2015,sliced cheese,2015,5,17,6
3547,10/07/2015,rolls/buns,2015,7,10,4
2344,19/04/2015,candy,2015,4,19,6
2157,26/06/2014,canned beer,2014,6,26,3
1175,6/10/2015,whole milk,2015,10,6,1
3184,24/10/2015,root vegetables,2015,10,24,5
4105,29/05/2015,tropical fruit,2015,5,29,4
3209,28/12/2015,newspapers,2015,12,28,0
3581,23/10/2014,frozen meals,2014,10,23,3
2716,3/05/2014,dental care,2014,5,3,5
2643,21/04/2015,tropical fruit,2015,4,21,1
2394,22/11/2015,whole milk,2015,11,22,6
3844,24/06/2014,semi-finished bread,2014,6,24,1
2279,4/11/2014,salty snack,2014,11,4,1
1329,23/05/2015,hamburger meat,2015,5,23,5
4837,12/02/2015,citrus fruit,2015,2,12,3
1316,31/05/2014,curd,2014,5,31,5
3109,9/11/2014,sausage,2014,11,9,6
3225,12/12/2015,other vegetables,2015,12,12,5
2194,6/05/2015,red/blush wine,2015,5,6,2
3144,16/08/2015,curd,2015,8,16,6
3581,16/01/2015,tropical fruit,2015,1,16,4
3105,4/12/2014,whipped/sour cream,2014,12,4,3
2433,14/03/2015,shopping bags,2015,3,14,5
2359,7/05/2014,instant coffee,2014,5,7,2
2132,8/08/2014,pastry,2014,8,8,4
4810,17/03/2015,bottled beer,2015,3,17,1
3038,1/11/2015,waffles,2015,11,1,6
2994,7/12/2014,whole milk,2014,12,7,6
2403,14/04/2014,hard cheese,2014,4,14,0
3263,30/06/2014,chocolate,2014,6,30,0
3732,26/01/2015,pip fruit,2015,1,26,0
4160,7/10/2014,dish cleaner,2014,10,7,1
2019,10/09/2015,salty snack,2015,9,10,3
3888,13/12/2015,sausage,2015,12,13,6
1023,28/06/2015,white bread,2015,6,28,6
2588,28/12/2015,yogurt,2015,12,28,0
3473,4/07/2015,liquor (appetizer),2015,7,4,5
1169,5/02/2014,margarine,2014,2,5,2
4352,28/11/2015,sausage,2015,11,28,5
3541,21/02/2014,chicken,2014,2,21,4
2585,14/03/2015,soda,2015,3,14,5
2651,1/08/2014,dishes,2014,8,1,4
2613,4/11/2015,white bread,2015,11,4,2
3527,29/09/2015,frozen vegetables,2015,9,29,1
1430,9/04/2015,yogurt,2015,4,9,3
2650,10/05/2015,shopping bags,2015,5,10,6
2413,16/09/2014,yogurt,2014,9,16,1
1853,6/07/2014,hygiene articles,2014,7,6,6
2535,29/12/2014,pip fruit,2014,12,29,0
4750,21/09/2015,pork,2015,9,21,0
4372,30/07/2015,other vegetables,2015,7,30,3
3897,23/08/2015,salty snack,2015,8,23,6
1494,25/06/2015,whole milk,2015,6,25,3
4561,18/06/2014,UHT-milk,2014,6,18,2
3494,31/03/2014,root vegetables,2014,3,31,0
3239,27/11/2015,yogurt,2015,11,27,4
1884,8/05/2015,root vegetables,2015,5,8,4
4244,16/12/2014,pot plants,2014,12,16,1
4335,28/06/2014,pickled vegetables,2014,6,28,5
2548,28/05/2014,waffles,2014,5,28,2
1565,15/10/2015,other vegetables,2015,10,15,3
1528,6/12/2014,cream cheese ,2014,12,6,5
2091,19/10/2015,dish cleaner,2015,10,19,0
2885,19/11/2015,bottled water,2015,11,19,3
3057,16/07/2014,instant coffee,2014,7,16,2
